date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:24	191/191	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2002:21:16%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/e,r.href	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/e,r.17.delayed	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:24	191088/191088	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Mar%202023%2014:22:39%20GMT	https://time.com/dist/article.css	C:/HTTrack/time/time.com/dist/article.css	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:24	606/606	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2021:47:53%20GMT	https://time.com/img/icons/crypto-wallet.png	C:/HTTrack/time/time.com/img/icons/crypto-wallet.png	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:24	13596/13596	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2021:47:53%20GMT	https://time.com/img/icons/metamask.png	C:/HTTrack/time/time.com/img/icons/metamask.png	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:25	15089/15089	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2021:47:53%20GMT	https://time.com/img/icons/wallet-connect.png	C:/HTTrack/time/time.com/img/icons/wallet-connect.png	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:25	96376/96376	---M--	200	added ('OK')	image/jpeg	etag:%225729e81ac934e5e8%22	https://api.time.com/wp-content/uploads/2023/03/arrests.jpg	C:/HTTrack/time/api.time.com/wp-content/uploads/2023/03/arrests.jpg	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:25	91440/91440	---M--	200	added ('OK')	image/jpeg	etag:%22bf58253f87f10a58%22	https://api.time.com/wp-content/uploads/2023/03/arrests.jpg?quality=85&w=1024	C:/HTTrack/time/api.time.com/wp-content/uploads/2023/03/arrests4dd5.jpg	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:25	7549/7549	---M--	200	added ('OK')	image/jpeg	etag:%22aa5789b588983394%22	https://api.time.com/wp-content/uploads/2023/03/iran-protests-children.jpg?quality=85&w=160&h=106&crop=1	C:/HTTrack/time/api.time.com/wp-content/uploads/2023/03/iran-protests-childrend8a3.jpg	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:26	6427/6427	---M--	200	added ('OK')	image/jpeg	etag:%22d887a0c7e92b1254%22	https://api.time.com/wp-content/uploads/2021/02/washington-politics-unity.jpg?quality=85&w=160&h=106&crop=1	C:/HTTrack/time/api.time.com/wp-content/uploads/2021/02/washington-politics-unityd8a3.jpg	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:26	24198/24198	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202023%2012:56:29%20GMT	https://time.com/dist/authentication.js	C:/HTTrack/time/time.com/dist/authentication.js	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
